open_time,volume,open,high,low,close
1639104300,156.188,48584.5,48584.5,48418.0,48491.0
1639105200,101.878,48491.0,48510.5,48390.0,48400.0
1639106100,147.583,48400.0,48409.0,48301.5,48322.0
1639107000,180.375,48322.0,48350.0,48200.0,48231.0
1639107900,198.582,48231.0,48370.5,48231.0,48338.5
1639108800,276.079,48338.5,48409.5,48134.5,48340.0
1639109700,246.247,48340.0,48543.5,48334.0,48426.5
1639110600,201.587,48426.5,48501.0,48249.5,48270.0
1639111500,213.723,48270.0,48350.0,48159.0,48159.0
1639112400,152.686,48159.0,48268.0,48125.0,48200.0
1639113300,240.243,48200.0,48310.5,48103.0,48148.0
1639114200,219.278,48148.0,48200.0,48013.5,48125.5
1639115100,218.969,48125.5,48252.5,48091.0,48231.5
1639116000,190.538,48231.5,48357.0,48169.0,48272.5
1639116900,249.247,48272.5,48403.0,48165.0,48165.5
1639117800,225.685,48165.5,48259.0,48107.5,48253.5
1639118700,626.251,48253.5,48316.0,47822.0,47857.5
1639119600,545.933,47857.5,47928.5,47733.0,47823.5
1639120500,369.08,47823.5,47960.5,47717.0,47941.5
1639121400,359.318,47941.5,48026.0,47815.0,47900.5
1639122300,543.743,47900.5,47916.0,47568.5,47677.0
1639123200,326.543,47677.0,47787.0,47647.0,47690.0
1639124100,423.986,47690.0,48030.0,47690.0,47980.5
1639125000,462.195,47980.5,48144.0,47896.0,47958.0
1639125900,283.294,47958.0,48157.0,47920.5,48086.5
1639126800,283.196,48086.5,48195.0,48015.5,48015.5
1639127700,192.522,48015.5,48127.5,47909.5,47909.5
1639128600,480.723,47909.5,48391.0,47854.5,48296.5
1639129500,398.31,48296.5,48500.0,48199.0,48350.0
1639130400,355.407,48350.0,48464.0,48229.0,48274.0
1639131300,150.006,48274.0,48295.0,48230.0,48269.5
1639132200,174.086,48269.5,48290.0,48167.5,48256.0
1639133100,237.08,48256.0,48346.5,48127.0,48204.5
1639134000,439.481,48204.5,48643.5,48204.5,48498.0
1639134900,191.808,48498.0,48498.5,48338.5,48400.0
1639135800,243.49,48400.0,48637.5,48384.0,48560.0
1639136700,373.094,48560.0,48693.0,48500.0,48684.5
1639137600,1420.07,48684.5,49222.0,48659.0,49085.5
1639138500,453.757,49085.5,49086.0,48827.0,48894.5
1639139400,291.322,48894.5,48970.0,48840.0,48964.0
1639140300,346.644,48964.0,49085.0,48921.5,49051.5
1639141200,462.283,49051.5,49180.0,48977.0,49100.5
1639142100,511.03,49100.5,49100.5,48847.0,48901.0
1639143000,3086.239,48901.0,50149.5,48901.0,49731.0
1639143900,843.497,49731.0,49805.0,49548.5,49595.0
1639144800,481.538,49595.0,49816.0,49570.5,49655.5
1639145700,401.316,49655.5,49656.5,49447.0,49447.0
1639146600,655.59,49447.0,49641.0,49359.0,49456.0
1639147500,3819.454,49456.0,49456.0,48112.5,48250.0
1639148400,1405.454,48250.0,48401.5,47875.0,48207.0
1639149300,1143.728,48207.0,48599.5,48190.0,48366.5
1639150200,446.302,48366.5,48370.5,48128.0,48202.0
1639151100,836.693,48202.0,48202.5,47738.5,47975.0
1639152000,1168.407,47975.0,47975.0,47510.0,47721.5
1639152900,1517.884,47721.5,47788.5,47218.0,47713.5
1639153800,832.507,47713.5,47773.0,47359.0,47649.5
1639154700,505.954,47649.5,47828.0,47510.0,47542.0
1639155600,319.154,47542.0,47700.0,47482.5,47700.0
1639156500,218.061,47700.0,47700.0,47403.5,47424.0
1639157400,451.263,47424.0,47611.5,47300.0,47463.5
1639158300,377.022,47463.5,47750.0,47463.0,47706.0
